bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,survey.notes,survey date
C,28,B,2557,30.7,6.5,1.2,0,,7/18/25
C,29,A,1780,14.4,4.2,1.7,1,,7/18/25
C,29,B,2454,,,,,,7/18/25
C,30,A,NA,,,,,,7/18/25
C,30,B,341,36.6,36.5,34.5,0,,7/18/25
C,31,A,1228,37.1,19.5,17.5,0,,7/18/25
C,31,B,2442,6.6,3.4,2.6,1,,7/18/25
C,32,A,939,,,,,,7/18/25
C,32,B,1700,4.3,4.7,4.2,1,,7/18/25
C,33,A,2523,7.2,5.5,5.2,1,,7/18/25
C,33,B,183,15.6,13.6,10.4,2,,7/18/25
C,34,A,1745,11.5,5.4,4.2,0,,7/18/25
C,34,B,2467,,,,,,7/18/25
C,35,A,2396,1.4,1.4,1.1,1,,7/18/25
C,35,B,2427,NA,NA,NA,NA,Dead,7/18/25
C,36,A,1905,,,,,,7/18/25
C,36,B,buffer,,,,,,7/18/25
C,37,A,2381,,,,,,7/18/25
C,37,B,1289,18.9,7.6,6.1,0,,7/18/25
C,38,A,2009,5.7,5.4,3.6,1,,7/18/25
C,38,B,2230,7.4,4.9,4.6,1,,7/18/25
C,39,A,2487,5.5,5.7,4.6,1,,7/18/25
C,39,B,1866,6,5.5,5.2,1,,7/18/25
C,40,A,2069,7.5,6.3,5,1,,7/18/25
C,40,B,2621,NA,NA,NA,NA,Dead,7/18/25
C,41,A,2493,3.2,2.2,2.1,0,,7/18/25
C,41,B,2574,5.4,3.9,3.1,1,,7/18/25
C,42,A,1747,14.5,4.4,4.4,0,spider cocoon,7/18/25
C,42,B,buffer,,,,,,7/18/25
C,43,A,73,26.9,11.8,11.2,0,,7/18/25
C,43,B,2522,4.9,1.9,1.8,1,,7/18/25
C,44,A,2558,5.6,3.7,3.1,1,,7/18/25
C,44,B,2169,7.3,5.3,3.4,1,,7/18/25
C,45,A,2165,13.2,6.6,6.1,1,,7/18/25
C,45,B,2328,9.6,7,3.8,0,Spider cocoon,7/18/25
C,46,A,2408,3.3,2.2,2,0,,7/18/25
C,46,B,2392,25.3,4,3.6,2,,7/18/25
C,47,A,2154,7.9,4.4,4.2,1,,7/18/25
C,47,B,1933,4.5,2.4,2.1,0,,7/18/25
C,48,A,1893,,,,,,7/18/25
C,48,B,2411,,,,,,7/18/25
C,49,A,buffer,,,,,,7/18/25
C,49,B,2551,4.5,2.6,2.3,0,,7/18/25
C,50,A,1620,5.9,5.7,4.9,0,,7/18/25
C,50,B,404,48.5,9.1,4.6,1,,7/18/25
C,51,A,2579,8.6,5.1,2.3,0,,7/18/25
C,51,B,2361,6.7,5.6,5.6,0,,7/18/25
C,52,A,buffer,,,,,,7/18/25
C,52,B,buffer,,,,,,7/18/25
C,53,A,1990,,,,,,7/18/25
C,53,B,2286,10.7,5.1,3.9,1,,7/18/25
C,54,A,1795,14.5,1.9,1.1,0,,7/18/25
C,54,B,buffer,,,,,,7/18/25
C,55,A,2488,,,,,,7/18/25
C,55,B,2020,3.5,2.7,2.7,1,,7/18/25
C,56,A,1936,4.1,1.6,1.3,1,,7/18/25
C,56,B,2173,8.1,3.1,2.6,1,,7/18/25
C,57,A,2608,4.4,1.4,0.9,1,,7/18/25
C,57,B,2398,4.2,3.4,2.2,0,,7/18/25
C,58,A,395,,,,,,7/18/25
C,58,B,1916,,,,,,7/18/25
C,59,A,buffer,,,,,,7/18/25
C,59,B,buffer,,,,,,7/18/25
C,60,A,buffer,,,,,,7/18/25
C,60,B,buffer,,,,,,7/18/25
C,1,C,buffer,,,,,,7/18/25
C,1,D,buffer,,,,,,7/18/25
C,2,C,buffer,,,,,,7/18/25
C,2,D,buffer,,,,,,7/18/25
C,3,C,buffer,,,,,,7/18/25
C,3,D,buffer,,,,,,7/18/25
C,4,C,2127,,,,,,7/18/25
C,4,D,NA,,,,,,7/18/25
C,5,C,2228,7.1,3.1,2.8,1,,7/18/25
C,5,D,NA,,,,,rock here,7/18/25
C,6,C,2476,4.9,3,1.9,0,,7/18/25
C,6,D,2314,,,,,,7/18/25
C,7,C,2051,6.6,4.7,1.5,1,,7/18/25
C,7,D,2419,3.6,2.1,1.3,0,,7/18/25
C,8,C,1826,5.5,4.2,1.6,1,,7/18/25
C,8,D,1699,2.5,1.6,0.9,0,wilted,7/18/25
C,9,C,2200,NA,NA,NA,NA,dead,7/18/25
C,9,D,NA,,,,,rock here,7/18/25
C,10,C,2006,,,,,,7/18/25
C,10,D,NA,,,,,rock here,7/18/25
C,11,C,2563,6.4,3.3,1.9,1,,7/18/25
C,11,D,2170,11.2,4.7,2.9,1,,7/18/25
C,12,C,1621,6.1,3.2,2.9,1,,7/18/25
C,12,D,2258,5.8,3.1,2.4,0,,7/18/25
C,13,C,2619,,,,,,7/18/25
C,13,D,2041,4,2.7,1.8,0,,7/18/25
C,14,C,1950,,,,,dead at planting,7/18/25
C,14,D,1873,4.8,2,1.1,0,,7/18/25
C,15,C,1738,15,3.6,1.9,0,dry leaves,7/18/25
C,15,D,2555,,,,,,7/18/25
C,16,C,2359,,,,,,7/18/25
C,16,D,2115,4.3,1.9,1.6,1,,7/18/25
C,17,C,1608,,,,,,7/18/25
C,17,D,2217,9.3,3.7,2.3,1,,7/18/25
C,18,C,2402,5.7,1.9,1.6,2,,7/18/25
C,18,D,1931,,,,,,7/18/25
C,19,C,1861,5.5,6.7,5.3,1,,7/18/25
C,19,D,2391,4,3.7,3.2,1,,7/18/25
C,20,C,2360,6.7,7.4,5.6,1,,7/18/25
C,20,D,2254,7.5,5.6,3.4,1,,7/18/25
C,21,C,2303,6.7,5.8,5.6,1,,7/18/25
C,21,D,2550,4.1,4.4,3.1,1,,7/18/25
C,22,C,2499,6.6,5.1,3.6,1,,7/18/25
C,22,D,2606,8.3,7.6,5.2,0,,7/18/25
C,23,C,2405,6.9,4.8,2.1,0,,7/18/25
C,23,D,737,30.9,26.4,19.6,1,,7/18/25
C,24,C,2070,7.9,6.3,3.2,1,,7/18/25
C,24,D,1911,,,,,,7/18/25
C,25,C,1820,6.5,5.9,3.3,1,,7/18/25
C,25,D,1828,4.7,3.2,2.5,1,,7/18/25
C,26,C,NA,,,,,,7/18/25
C,26,D,NA,,,,,,7/18/25
C,27,C,NA,,,,,,7/18/25
C,27,D,NA,,,,,,7/18/25
C,28,C,1932,4.9,3.8,3.1,1,,7/18/25
C,28,D,buffer,,,,,,7/18/25
C,29,C,711,30.9,24.2,13,1,,7/18/25
C,29,D,2269,24.5,8.8,2.2,1,,7/18/25
C,30,C,2620,4.1,2.3,1.4,0,,7/18/25
C,30,D,2646,19.8,4.9,4.2,0,,7/18/25
C,31,C,2420,3.7,2.8,2.1,0,,7/18/25
C,31,D,2096,7,7.8,5.7,1,,7/18/25
C,32,C,2580,NA,NA,NA,NA,dead,7/18/25
C,32,D,2430,5,3,2.9,1,,7/18/25
C,33,C,2339,7.1,4.6,3.3,1,,7/18/25
C,33,D,2410,2.6,3.3,1.5,1,,7/18/25
C,34,C,2471,7.2,3.5,2.2,1,,7/18/25
C,34,D,2201,6.9,6.2,4.6,1,,7/18/25
C,35,C,2218,9,3.3,2,1,,7/18/25
C,35,D,2153,7.6,5.2,5.1,2,,7/18/25
C,36,C,buffer,,,,,,7/18/25
C,36,D,buffer,,,,,,7/18/25
C,37,C,2260,15.4,4.1,3.6,1,,7/18/25
C,37,D,714,NA,NA,NA,NA,dead,7/18/25
C,38,C,1982,4.7,3.5,2,1,,7/18/25
C,38,D,539,16.6,5.9,4.6,1,,7/18/25
C,39,C,2220,12.4,7.9,6.3,1,,7/18/25
C,39,D,1821,6.5,6.1,2.5,1,,7/18/25
C,40,C,1992,6.4,4.1,3.3,0,,7/18/25
C,40,D,2204,5.3,6.1,4.3,1,,7/18/25
C,41,C,2607,4.3,1.6,1.4,1,,7/18/25
C,41,D,2554,6.1,2.4,2,1,,7/18/25
C,42,C,2446,,,,,,7/18/25
C,42,D,2043,4.2,2.5,1.9,1,,7/18/25
C,43,C,1156,28.1,25.4,18.4,1,,7/18/25
C,43,D,1048,35.2,20.6,5.5,1,,7/18/25
C,44,C,1252,23.7,24,12.7,1,,7/18/25
C,44,D,1085,24.2,12.7,8.8,0,,7/18/25
C,45,C,NA,,,,,,7/18/25
C,45,D,394,25.4,2.6,1.6,1,,7/18/25
C,46,C,NA,,,,,,7/18/25
C,46,D,1766,20,9.1,6.4,1,,7/18/25
C,47,C,2255,10.1,7.1,6.2,1,,7/18/25
C,47,D,1399,32.1,11.3,11.1,1,,7/18/25
C,48,C,89,27.3,22.1,16.9,1,,7/18/25
C,48,D,1919,5.5,3.1,2.9,1,,7/18/25
C,49,C,2643,34.2,17.7,9.6,1,,7/18/25
C,49,D,2480,NA,NA,NA,NA,dead,7/18/25
C,50,C,1794,17.9,4.6,4.1,0,,7/18/25
C,50,D,2097,3.9,2.6,2,1,,7/18/25
C,51,C,2397,2.9,4.6,1.9,0,,7/18/25
C,51,D,1831,7.2,6.2,5.7,0,,7/18/25
C,52,C,2516,8.1,6,4,1,,7/18/25
C,52,D,1701,,,,,dead pre-planting,7/18/25
C,53,C,2311,5.2,4.4,2.4,1,,7/18/25
C,53,D,2640,11.7,8.3,1.8,1,,7/18/25
C,54,C,buffer,,,,,,7/18/25
C,54,D,buffer,,,,,,7/18/25
C,55,C,2423,,,,,,7/18/25
C,55,D,2519,6.3,6.4,4.5,1,,7/18/25
C,56,C,2450,,,,,,7/18/25
C,56,D,2559,6.2,2.4,1.9,0,,7/18/25
C,57,C,1798,,,,,,7/18/25
C,57,D,1835,5.4,2.9,2,0,,7/18/25
C,58,C,2031,10.2,3.7,2.9,1,,7/18/25
C,58,D,2457,4.8,2.8,1.7,1,,7/18/25
C,59,C,buffer,,,,,,7/18/25
C,59,D,buffer,,,,,,7/18/25
C,60,C,buffer,,,,,,7/18/25
C,60,D,buffer,,,,,,7/18/25
D,1,A,buffer,,,,,,7/18/25
D,1,B,buffer,,,,,,7/18/25
D,2,A,buffer,,,,,,7/18/25
D,2,B,buffer,,,,,,7/18/25
D,3,A,buffer,,,,,,7/18/25
D,3,B,buffer,,,,,,7/18/25
D,4,A,1993,6.9,3.9,3.5,1,,7/18/25
D,4,B,1704,,,,,,7/18/25
D,5,A,2483,4.2,1.7,1.5,0,,7/18/25
D,5,B,2239,5.2,1,0.9,0,wilting,7/18/25
D,6,A,NA,,,,,,7/18/25
D,6,B,NA,,,,,,7/18/25
D,7,A,NA,,,,,,7/18/25
D,7,B,NA,,,,,,7/18/25
D,8,A,2075,,,,,,7/18/25
D,8,B,NA,,,,,,7/18/25
D,9,A,2155,5.3,2.9,2.2,1,flowering,7/18/25
D,9,B,2320,6.8,7.1,2.9,1,,7/18/25
D,10,A,2278,10.5,1,0.6,4,,7/18/25
D,10,B,436,NA,NA,NA,NA,dead,7/18/25
D,11,A,2362,9,3.5,2.6,1,wilting,7/18/25
D,11,B,1822,5.8,5.1,3.7,1,,7/18/25
D,12,A,NA,,,,,,7/18/25
D,12,B,304,21.1,18.6,10.7,1,,7/18/25
D,13,A,2470,7.6,3.6,1.1,1,,7/18/25
D,13,B,2209,9.3,5,2.9,0,,7/18/25
D,14,A,2417,3.5,3.3,1.4,1,,7/18/25
D,14,B,2205,6.4,8,7.5,1,,7/18/25
D,15,A,1790,8.6,1.7,0.8,0,wilting,7/18/25
D,15,B,1107,26.8,21.5,14.5,0,,7/18/25
D,16,A,1995,7.2,4.4,3.4,0,,7/18/25
D,16,B,1961,2.4,2,1.6,1,,7/18/25
D,17,A,2240,6.3,3.3,2.4,0,,7/18/25
D,17,B,403,NA,NA,NA,NA,dead,7/18/25
D,18,A,2521,3.9,2.8,2.3,0,,7/18/25
D,18,B,2610,4.1,1.4,0.9,0,,7/18/25
D,19,A,2393,,,,,,7/18/25
D,19,B,141,11.2,8.4,5.2,0,,7/18/25
D,20,A,2532,7.8,5.6,3.3,1,,7/18/25
D,20,B,buffer,,,,,,7/18/25
D,21,A,2363,,,,,,7/18/25
D,21,B,2609,7.6,2.3,1.6,1,,7/18/25
D,22,A,2206,4.7,3.1,1.9,1,,7/18/25
D,22,B,2593,6.7,3.1,2.3,0,,7/18/25
D,23,A,1894,3.3,2.4,2.1,0,,7/18/25
D,23,B,2413,6.2,2.5,2.3,0,,7/18/25
D,24,A,2597,5.2,3.1,2,0,,7/18/25
D,24,B,2440,5.6,2.8,1.2,1,,7/18/25
D,25,A,2504,,,,,,7/18/25
D,25,B,2222,9.6,8.8,4,0,,7/18/25
D,26,A,2577,4.7,3.6,1.2,1,,7/18/25
D,26,B,1803,4.8,2.1,1.3,1,,7/18/25
D,27,A,1939,3.1,1.4,0.5,0,,7/18/25
D,27,B,2444,,,,,,7/18/25
D,28,A,1864,3.7,1.7,1.7,1,,7/18/25
D,28,B,2403,4.3,3.1,1.8,0,,7/18/25
D,29,A,2312,4.6,3.1,2.4,1,,7/18/25
D,29,B,1942,4.4,1.7,1.1,0,,7/18/25
D,30,A,103,24.6,17.3,16.2,1,,7/18/25
D,30,B,1760,29.1,3.9,3.5,1,,7/18/25
D,31,A,1967,3.6,4.9,3.4,1,,7/18/25
D,31,B,2569,6.4,3,2.9,1,,7/18/25
D,32,A,1968,7.2,5.2,3.5,1,,7/18/25
D,32,B,2633,8.6,4.4,2.2,0,,7/18/25
D,33,A,1280,15.8,10.7,6.4,0,,7/18/25
D,33,B,246,39.6,38.4,32.4,0,,7/18/25
D,34,A,2406,5.9,4.2,3.9,1,,7/18/25
D,34,B,2224,8.2,5.7,2.9,1,,7/18/25
D,35,A,buffer,,,,,,7/18/25
D,35,B,190,24.6,27.4,27.4,0,,7/18/25
D,36,A,2130,NA,NA,NA,NA,dead,7/18/25
D,36,B,2507,7.3,5.9,2.7,0,,7/18/25
D,37,A,1675,,,,,dead at planting,7/18/25
D,37,B,2364,,,,,dead pre-planting,7/18/25
D,38,A,1774,14.4,3.8,3.4,0,,7/18/25
D,38,B,2418,4,3.9,2.9,0,,7/18/25
D,39,A,2515,9.4,6.9,6.3,0,,7/18/25
D,39,B,1838,5.6,4.2,3.6,0,,7/18/25
D,40,A,2261,11.7,3.9,3.4,0,,7/18/25
D,40,B,2414,NA,NA,NA,NA,dead,7/18/25
D,41,A,2455,7.6,3.2,1.2,0,,7/18/25
D,41,B,1940,8.1,3.7,2.9,1,,7/18/25
D,42,A,2324,4.5,2.3,2.3,1,,7/18/25
D,42,B,1985,4.4,3,2.1,1,,7/18/25
D,43,A,895,8.9,6.4,1.1,NA,no leaves,7/18/25
D,43,B,1804,7.1,5.2,3.8,0,,7/18/25
D,44,A,2207,4.9,4.9,3.2,0,,7/18/25
D,44,B,2596,3,1.8,1,0,,7/18/25
D,45,A,2241,9.7,4.4,2.9,0,,7/18/25
D,45,B,398,49.7,9.4,8.6,1,,7/18/25
D,46,A,2583,4.1,3.9,3,0,,7/18/25
D,46,B,2238,23.2,4.8,2.1,1,wilting,7/18/25
D,47,A,buffer,,,,,,7/18/25
D,47,B,1403,37.2,29.8,11.5,0,,7/18/25
D,48,A,2490,7.1,3.2,1.7,0,,7/18/25
D,48,B,1702,3.2,2.9,2.6,0,,7/18/25
D,49,A,2525,7.4,4.2,2.5,0,,7/18/25
D,49,B,1707,16.2,4.4,3.3,1,,7/18/25
D,50,A,buffer,,,,,,7/18/25
D,50,B,2625,3.9,1.8,1.6,1,,7/18/25
D,51,A,buffer,,,,,,7/18/25
D,51,B,1988,5,NA,NA,NA,no leaves,7/18/25
D,52,A,522,24.5,3.7,2.5,1,,7/18/25
D,52,B,2463,8.1,7.6,2.9,1,,7/18/25
D,53,A,2395,NA,NA,NA,NA,dead,7/18/25
D,53,B,2212,15.5,7.8,3.6,1,,7/18/25
D,54,A,1876,7.2,8.9,8,0,,7/18/25
D,54,B,1849,9.2,4.9,4,0,,7/18/25
D,55,A,2573,11.1,5,3.5,0,,7/18/25
D,55,B,2425,7.5,2.9,2.4,0,,7/18/25
D,56,A,2544,10.1,6.5,4.5,1,,7/18/25
D,56,B,2492,3.9,3.2,2.6,0,,7/18/25
D,57,A,buffer,,,,,,7/18/25
D,57,B,1327,31.7,36.6,24.4,0,,7/18/25
D,58,A,buffer,,,,,,7/18/25
D,58,B,2131,10.4,5.5,4.8,0,,7/18/25
D,1,C,buffer,,,,,,7/18/25
D,1,D,buffer,,,,,,7/18/25
D,2,C,buffer,,,,,,7/18/25
D,2,D,buffer,,,,,,7/18/25
D,3,C,buffer,,,,,,7/18/25
D,3,D,buffer,,,,,,7/18/25
D,4,C,1901,3.6,2.5,2,0,,7/18/25
D,4,D,2221,4,2.3,0.8,1,Dying,7/18/25
D,5,C,2292,4.4,3.7,3,1,,7/18/25
D,5,D,2121,3.9,1.5,1.3,1,,7/18/25
D,6,C,NA,,,,,,7/18/25
D,6,D,NA,,,,,,7/18/25
D,7,C,1751,6.8,2.3,1.5,0,,7/18/25
D,7,D,NA,,,,,,7/18/25
D,8,C,2538,5.7,2.1,1.6,0,,7/18/25
D,8,D,1856,,,,,,7/18/25
D,9,C,2622,3.8,1.4,0.9,0,,7/18/25
D,9,D,1768,13.5,4.2,2.6,0,,7/18/25
D,10,C,2412,3.1,1.4,1,1,Wilting,7/18/25
D,10,D,buffer,,,,,,7/18/25
D,11,C,1614,,,,,,7/18/25
D,11,D,buffer,,,,,,7/18/25
D,12,C,2257,9.7,5.9,4.9,1,,7/18/25
D,12,D,2578,,,,,,7/18/25
D,13,C,144,14.1,23.2,20.9,0,,7/18/25
D,13,D,2576,5,4.1,3.2,0,,7/18/25
D,14,C,1976,,,,,,7/18/25
D,14,D,buffer,,,,,,7/18/25
D,15,C,2376,2.2,2.6,2,1,,7/18/25
D,15,D,1667,3.1,2.3,1.2,0,,7/18/25
D,16,C,2343,7.4,3.5,2.1,1,,7/18/25
D,16,D,2539,2.4,1.5,1.3,0,,7/18/25
D,17,C,2644,NA,NA,NA,NA,Dead,7/18/25
D,17,D,1791,12.4,3.1,2.7,1,,7/18/25
D,18,C,2510,5.6,4.4,3.7,1,,7/18/25
D,18,D,2054,3.7,1.3,1.2,1,,7/18/25
D,19,C,1767,10,2.4,2.1,1,,7/18/25
D,19,D,1644,7.3,2.8,2.3,1,,7/18/25
D,20,C,buffer,,,,,,7/18/25
D,20,D,2399,2.2,1.5,1.5,1,,7/18/25
D,21,C,buffer,,,,,,7/18/25
D,21,D,1977,5.4,5.1,3.3,1,,7/18/25
D,22,C,53,21.6,15.6,7.6,0,,7/18/25
D,22,D,buffer,,,,,,7/18/25
D,23,C,buffer,,,,,,7/18/25
D,23,D,815,17.3,12.1,8.6,0,,7/18/25
D,24,C,2265,14.5,2.9,1.3,0,,7/18/25
D,24,D,2461,3.3,1.6,1.4,0,,7/18/25
D,25,C,2047,4.4,3.8,2.5,0,,7/18/25
D,25,D,2623,,,,,,7/18/25
D,26,C,1753,,,,,,7/18/25
D,26,D,1600,9.3,5.6,2.6,1,,7/18/25
D,27,C,1837,6.4,3.4,1.7,1,,7/18/25
D,27,D,2283,25.2,3.9,2.9,1,,7/18/25
D,28,C,2501,,,,,,7/18/25
D,28,D,2129,3.9,1.2,1.2,1,,7/18/25
D,29,C,1971,4.2,3.6,1.8,1,,7/18/25
D,29,D,2617,6.4,2.6,2,1,,7/18/25
D,30,C,1834,,,,,,7/18/25
D,30,D,2451,6.5,3.4,1.9,0,,7/18/25
D,31,C,2540,7.6,5.5,2.7,1,,7/18/25
D,31,D,2647,,,,,,7/18/25
D,32,C,2431,4.3,2.2,1.1,1,,7/18/25
D,32,D,2526,8.1,4.3,4.1,1,,7/18/25
D,33,C,2422,7.1,3.8,3.1,0,,7/18/25
D,33,D,2601,,,,,,7/18/25
D,34,C,1648,6.9,2,1.8,0,,7/18/25
D,34,D,2345,9.6,5.1,2.9,1,,7/18/25
D,35,C,204,,,,,,7/18/25
D,35,D,2479,6.5,4.5,2.7,0,,7/18/25
D,36,C,NA,,,,,,7/18/25
D,36,D,2468,20.2,5.6,3.8,1,,7/18/25
D,37,C,2050,3.6,6,4.6,1,,7/18/25
D,37,D,1882,,,,,dead pre-planting,7/18/25
D,38,C,1997,4.8,1.7,1.4,1,,7/18/25
D,38,D,2055,3.9,5.3,4.2,0,,7/18/25
D,39,C,1862,3.6,3.7,3,1,Wilting 7/18,7/18/25
D,39,D,1430,29.1,23.9,21.1,1,,7/18/25
D,40,C,2340,26.2,2.1,1.8,1,,7/18/25
D,40,D,1404,37.6,29.8,20.5,0,,7/18/25
D,41,C,1913,7.5,5.7,4.3,1,,7/18/25
D,41,D,2484,7,3.3,2.3,1,,7/18/25
D,42,C,491,29.9,1.6,0.8,0,,7/18/25
D,42,D,76,27.8,23.5,16.7,0,,7/18/25
D,43,C,363,23.3,10.6,7.7,1,,7/18/25
D,43,D,2046,4.9,4.6,3.5,1,,7/18/25
D,44,C,385,25,5.6,1.4,0,,7/18/25
D,44,D,2531,6.9,3.8,1.5,1,,7/18/25
D,45,C,2624,,,,,,7/18/25
D,45,D,2543,5.1,3,1.7,1,,7/18/25
D,46,C,2277,12.2,4.1,2.9,1,,7/18/25
D,46,D,1972,6.9,3.3,1.6,1,,7/18/25
D,47,C,1682,1.7,1,0.6,0,Wilting 7/18,7/18/25
D,47,D,2065,4.6,2.3,1.6,0,,7/18/25
D,48,C,1615,3.4,1.6,0.7,0,,7/18/25
D,48,D,2369,4.4,5.3,3.9,1,,7/18/25
D,49,C,2192,NA,NA,NA,NA,Dead,7/18/25
D,49,D,2387,3.9,3.6,2.9,0,,7/18/25
D,50,C,2103,5.1,3.5,2.9,0,,7/18/25
D,50,D,2542,11.3,4.4,2.4,1,,7/18/25
D,51,C,2445,3.5,3.8,2.7,1,,7/18/25
D,51,D,1839,2.1,3.3,2.8,1,,7/18/25
D,52,C,2242,9.7,5.8,3.1,1,,7/18/25
D,52,D,1806,5,4.6,3.1,1,,7/18/25
D,53,C,2429,3.8,2.1,1.9,1,,7/18/25
D,53,D,2346,8.4,3.7,3.2,1,,7/18/25
D,54,C,2567,6.3,4,2.8,0,,7/18/25
D,54,D,936,25.4,12.6,6,1,,7/18/25
D,55,C,2235,9.7,3.8,3.8,1,,7/18/25
D,55,D,1796,40.9,7.5,5.6,1,,7/18/25
D,56,C,2166,10.4,8.5,4.2,1,,7/18/25
D,56,D,2485,9.4,8,7.6,1,,7/18/25
D,57,C,1970,5.3,4.1,2.4,1,,7/18/25
D,57,D,buffer,,,,,,7/18/25
D,58,C,buffer,,,,,,7/18/25
D,58,D,buffer,,,,,,7/18/25
D,59,C,buffer,,,,,,7/18/25
D,59,D,buffer,,,,,,7/18/25
E,1,B,buffer,,,,,only 2 buffers,7/18/25
E,2,A,buffer,,,,,only 2 buffers,7/18/25
E,2,B,buffer,,,,,,7/18/25
E,3,A,buffer,,,,,,7/18/25
E,3,B,buffer,,,,,,7/18/25
E,4,A,2225,7.7,4.4,2.5,0,,7/18/25
E,4,B,1998,4.6,3.5,2.1,0,,7/18/25
E,5,A,2475,,,,,,7/18/25
E,5,B,2641,13.9,5.5,5.4,0,,7/18/25
E,6,A,NA,,,,,,7/18/25
E,6,B,2061,4.4,3.4,2.1,0,,7/18/25
E,7,A,2266,11.5,3.9,2.6,1,,7/18/25
E,7,B,2534,7.6,4.7,2,1,,7/18/25
E,8,A,2282,5.4,2.2,1.7,1,,7/18/25
E,8,B,2028,5.6,3,1.8,0,,7/18/25
E,9,A,buffer,,,,,,7/18/25
E,9,B,2132,10.6,4.1,3.4,2,,7/18/25
E,10,A,399,NA,NA,NA,NA,Dead,7/18/25
E,10,B,2374,4.1,4.4,3,1,,7/18/25
E,11,A,2088,5.1,5.4,4,1,,7/18/25
E,11,B,2518,,,,,,7/18/25
E,12,A,2079,8.3,2.3,2.1,0,Dry,7/18/25
E,12,B,NA,,,,,rock here,7/18/25
E,13,A,2486,,,,,,7/18/25
E,13,B,NA,,,,,,7/18/25
E,14,A,2211,9.7,5.7,3.7,1,,7/18/25
E,14,B,2025,3.6,3.5,2.1,1,,7/18/25
E,15,A,2018,4.4,2.9,1.9,1,,7/18/25
E,15,B,1896,2.8,2.4,1,1,,7/18/25
E,16,A,1857,6.7,3.9,2.7,1,,7/18/25
E,16,B,2244,,,,,,7/18/25
E,17,A,1807,,,,,,7/18/25
E,17,B,1840,3.8,1.8,1.5,0,,7/18/25
E,18,A,2000,5.4,2.6,2.6,0,,7/18/25
E,18,B,372,36.9,16.4,11.4,0,,7/18/25
E,19,A,1605,,,,,,7/18/25
E,19,B,1975,9.5,4.1,3.2,1,,7/18/25
E,20,A,1684,,,,,dead pre-planting,7/18/25
E,20,B,2367,3.9,1.9,0.9,1,,7/18/25
E,21,A,2104,5.1,4,3.9,1,,7/18/25
E,21,B,2437,10.9,4.5,2,1,,7/18/25
E,22,A,2014,3.2,1.5,1.1,0,,7/18/25
