bed,row,col,Unique.ID,height.cm,overhd.diam,overhd.perp,herbv.scale,leaf.number,survey.notes,survey date
C,23,C,2405,5.5,5.4,2.8,0,11,,8/7/25
C,23,D,737,30,34.5,14.3,0,0,all branches rep,8/7/25
C,24,C,2070,6.8,6.6,3.5,1,29,,8/7/25
C,24,D,1911,,,,,,,8/7/25
C,25,C,1820,7.4,6.5,3.2,1,9,,8/7/25
C,25,D,1828,2.6,3.1,2.3,1,7,,8/7/25
C,26,C,NA,,,,,,,8/7/25
C,26,D,NA,,,,,,,8/7/25
C,27,C,NA,,,,,,,8/7/25
C,27,D,NA,,,,,,,8/7/25
C,28,C,1932,3.1,2.9,2.4,0,5,,8/7/25
C,28,D,buffer,,,,,,,8/7/25
C,29,C,711,29.9,21.2,12.5,0,0,all branches rep,8/7/25
C,29,D,2269,23.5,2.2,0.4,0,0,all branches rep,8/7/25
C,30,C,2620,2.9,2,1.8,0,6,,8/7/25
C,30,D,2646,24.5,4,3.5,0,0,all branches rep,8/7/25
C,31,C,2420,3,2.8,2.4,0,11,,8/7/25
C,31,D,2096,4.5,9,6.1,0,36,,8/7/25
C,32,C,2580,NA,NA,NA,NA,NA,dead,8/7/25
C,32,D,2430,3.5,2.7,2.4,1,9,,8/7/25
C,33,C,2339,5.6,4.5,3.5,1,9,,8/7/25
C,33,D,2410,0.9,2,1.4,0,6,wilted,8/7/25
C,34,C,2471,6.4,2.8,2.4,2,7,,8/7/25
C,34,D,2201,5.4,6.4,4.3,0,29,,8/7/25
c,35,c,2218,6.1,2.8,1.4,1,7,,8/7/25
C,35,D,2153,6.8,4.6,1.5,4,2,,8/7/25
C,36,C,buffer,,,,,,,8/7/25
C,36,D,buffer,,,,,,,8/7/25
C,37,C,2260,14,4.7,3.9,1,8,,8/7/25
C,37,D,714,,,,,,,8/7/25
C,38,C,1982,2.6,3.4,1.2,1,6,,8/7/25
c,38,D,539,10.1,4.7,1.2,4,0,all branches rep,8/7/25
C,39,C,2220,11.4,7.6,5.1,1,11,,8/7/25
C,39,D,1821,5.6,5.8,3.4,1,15,,8/7/25
C,40,C,1992,5.1,3.2,2.8,0,11,,8/7/25
c,40,D,2204,3.4,5.6,2.9,1,8,,8/7/25
C,41,C,2607,4.6,1.7,0.9,3,1,,8/7/25
C,41,D,2554,7.3,2.6,2,1,8,,8/7/25
C,42,C,2446,,,,,,,8/7/25
C,42,D,2043,3.7,2.9,2.9,1,7,,8/7/25
C,43,C,1156,26.1,22.9,16.5,0,0,all branches rep,8/7/25
C,43,D,1048,33.6,14.2,6.8,0,0,all branches rep,8/7/25
C,44,C,1252,19.5,21,15.8,0,0,all branches rep dying,8/7/25
C,44,D,1085,24.2,12.2,7.1,0,0,all branches rep,8/7/25
C,45,C,NA,,,,,,,8/7/25
C,45,D,394,28.6,1.5,1.4,0,0,all branches rep,8/7/25
C,46,C,NA,,,,,,,8/7/25
C,46,D,1766,27.4,5.3,5,1,6,,8/7/25
C,47,C,2255,9.2,7,3.8,0,7,,8/7/25
C,47,D,1399,NA,NA,NA,NA,NA,dead,8/7/25
C,48,C,89,21.1,18.9,13.5,0,0,all branches rep,8/7/25
C,48,D,1919,2.5,3.1,2,0,11,,8/7/25
C,49,C,2643,32.4,14,4.2,0,0,all branches rep,8/7/25
C,49,D,2480,NA,NA,NA,NA,NA,dead,8/7/25
C,50,C,1794,17.2,4.2,3.5,0,8,,8/7/25
C,50,D,2097,2.9,2.6,2.5,1,14,,8/7/25
C,51,C,2397,2,1.5,1.1,0,4,,8/7/25
C,51,D,1831,5.4,5.5,4.8,0,24,,8/7/25
C,52,C,2516,6,4.4,2.8,0,11,,8/7/25
C,52,D,1701,,,,,,dead pre-planting,8/7/25
C,53,C,2311,4.2,4.5,2.3,0,14,,8/7/25
C,53,D,2640,11.2,5.1,2,0,8,,8/7/25
C,54,c,buffer,,,,,,,8/7/25
C,54,D,buffer,,,,,,,8/7/25
C,55,C,2423,,,,,,,8/7/25
C,55,D,2519,4.4,4.5,3.8,1,13,,8/7/25
C,56,C,2450,,,,,,,8/7/25
C,56,D,2559,5.5,2.8,1.5,0,5,,8/7/25
C,57,C,1798,,,,,,,8/7/25
c,57,D,1835,4.4,3.2,2.2,0,10,,8/7/25
C,58,C,2031,10,4.4,2.5,1,7,,8/7/25
C,58,D,2457,3,2.7,1.6,0,6,,8/7/25
C,59,C,buffer,,,,,,,8/7/25
C,59,D,buffer,,,,,,,8/7/25
C,60,C,buffer,,,,,,,8/7/25
C,60,D,buffer,,,,,,,8/7/25
D,1,A,buffer,,,,,,,8/7/25
D,1,B,buffer,,,,,,,8/7/25
D,2,A,buffer,,,,,,,8/7/25
D,2,B,buffer,,,,,,,8/7/25
D,3,A,buffer,,,,,,,8/7/25
D,3,B,buffer,,,,,,,8/7/25
D,4,A,1993,6.8,4.8,3.5,1,6,,8/7/25
D,4,B,1704,,,,,,,8/7/25
D,5,A,2483,4.1,2.5,1.7,1,7,,8/7/25
D,5,B,2239,,,,,,,8/7/25
D,6,A,NA,,,,,,,8/7/25
D,6,B,NA,,,,,,,8/7/25
D,7,A,NA,,,,,,,8/7/25
D,7,B,NA,,,,,,,8/7/25
D,8,A,2075,,,,,,,8/7/25
D,8,B,NA,,,,,,,8/7/25
D,9,A,2155,5,2.3,1.9,1,6,,8/7/25
D,9,B,2320,11.2,9.3,4,1,24,,8/7/25
D,10,A,2278,10.5,1.1,0.9,4,0,,8/7/25
D,10,B,436,,,,,,,8/7/25
D,11,A,2362,9.1,2.6,0.7,0,2,wilting,8/7/25
D,11,B,1822,5.8,4.7,2.9,1,21,,8/7/25
D,12,A,NA,,,,,,,8/7/25
D,12,B,304,18.1,17.9,9.8,0,0,all branches rep.,8/7/25
D,13,A,2470,,,,,,,8/7/25
D,13,B,2209,7.1,2.4,1.8,1,8,,8/7/25
D,14,A,2417,3.9,3.1,1.2,1,7,,8/7/25
D,14,B,2205,6.5,7.2,4.8,1,11,,8/7/25
D,15,A,1790,8,1.5,1.3,0,3,dying,8/7/25
D,15,B,1107,28.2,22.5,18.6,1,0,all branches rep.,8/7/25
D,16,A,1995,7.2,3.5,3,1,17,,8/7/25
D,16,B,1961,3.2,2.1,1.6,1,10,,8/7/25
D,17,A,2240,6.9,2.6,2.4,0,8,,8/7/25
D,17,B,403,,,,,,,8/7/25
D,18,A,2521,3.6,3.2,1.6,1,8,,8/7/25
D,18,B,2610,4.7,1.7,1.3,0,5,,8/7/25
D,19,A,2393,,,,,,,8/7/25
D,19,B,141,10.8,5.5,5.4,0,0,,8/7/25
D,20,A,2532,7.9,6,4.3,1,14,,8/7/25
D,20,B,buffer,,,,,,,8/7/25
D,21,A,2363,,,,,,,8/7/25
D,21,B,2609,8.4,1.5,1.2,1,5,,8/7/25
D,22,A,2206,4.9,3.5,2.6,1,7,,8/7/25
D,22,B,2593,6.2,4.4,2.9,0,16,,8/7/25
D,23,A,1894,3.2,2,1.8,0,14,,8/7/25
D,23,B,2413,6.2,3.4,2.9,0,8,,8/7/25
D,24,A,2597,5.6,3.9,2.7,0,9,,8/7/25
D,24,B,2440,6.2,3.2,1.5,1,7,,8/7/25
D,25,A,2504,,,,,,,8/7/25
D,25,B,2222,10.3,5.1,4.2,0,14,,8/7/25
D,26,A,2577,4.7,2,1.6,1,12,,8/7/25
D,26,B,1803,4.7,2.1,1.6,1,6,,8/7/25
D,27,A,1939,,,,,,,8/7/25
D,27,B,2444,,,,,,,8/7/25
D,28,A,1864,4.1,2.4,1.6,0,11,,8/7/25
D,28,B,2403,4.6,3.2,1.8,0,6,,8/7/25
D,29,A,2312,4.7,3.3,1.8,1,25,,8/7/25
D,29,B,1942,5.2,1.9,1.5,0,4,,8/7/25
D,30,A,103,15.6,19,15.3,0,0,drying,8/7/25
D,30,B,1760,28.1,9.8,2.2,1,0,all branches rep.,8/7/25
D,31,A,1967,3.3,3.7,2.3,1,27,,8/7/25
D,31,B,2569,6.6,3.2,1.5,1,11,,8/7/25
D,32,A,1968,7.4,5.4,3,1,20,,8/7/25
D,32,B,2633,7.8,2.4,1.9,1,5,,8/7/25
D,33,A,1280,14.7,10.4,2.6,0,0,All branches rep,8/7/25
D,33,B,246,42.5,38.3,29.4,1,0,All branches rep,8/7/25
D,34,A,2406,4.9,4.5,3.7,1,19,,8/7/25
D,34,B,2224,7.4,5.6,2.6,1,28,,8/7/25
D,35,A,buffer,,,,,,,8/7/25
D,35,B,190,29.1,27.5,23.9,1,0,All branches rep,8/7/25
D,36,A,2130,,,,,,,8/7/25
D,36,B,2507,7.3,5.1,3,1,7,,8/7/25
D,37,A,1675,,,,,,dead at planting,8/7/25
D,37,B,2364,,,,,,dead pre-planting,8/7/25
D,38,A,1774,13.8,3.6,2.9,1,10,,8/7/25
D,38,B,2418,2.9,3.5,2.8,0,29,,8/7/25
D,39,A,2515,8.9,7,5.9,1,17,,8/7/25
D,39,B,1838,6.4,3.3,2.7,0,27,,8/7/25
D,40,A,2261,11.5,4.8,3.6,0,11,,8/7/25
D,40,B,2414,NA,NA,NA,NA,NA,Dead,8/7/25
D,41,A,2455,8.5,1.5,1.3,1,10,,8/7/25
D,41,B,1940,8.1,3.5,2.6,0,5,,8/7/25
D,42,A,2324,4.8,2.1,1.7,0,21,,8/7/25
D,42,B,1985,3.9,2.9,2.8,1,10,,8/7/25
D,43,A,895,,,,,,,8/7/25
D,43,B,1804,6.6,4.3,3,1,17,,8/7/25
D,44,A,2207,5,4.7,2.9,1,8,,8/7/25
D,44,B,2596,2.8,1.4,1.3,1,8,,8/7/25
D,45,A,2241,10.5,3.3,2.1,0,10,,8/7/25
D,45,B,398,49.5,14.3,7.9,0,0,All branches rep,8/7/25
D,46,A,2583,4.3,4.5,3,1,40,,8/7/25
D,46,B,2238,,,,,,,8/7/25
D,47,A,buffer,,,,,,,8/7/25
D,47,B,1403,34.6,29.4,11.5,1,0,all branches rep,8/7/25
D,48,A,2490,7.4,2.7,2,0,9,,8/7/25
D,48,B,1702,2.9,3.3,2.5,0,14,,8/7/25
D,49,A,2525,7.3,3,2.9,0,15,,8/7/25
D,49,B,1707,16.4,4.1,3.1,1,11,,8/7/25
D,50,A,buffer,,,,,,,8/7/25
D,50,B,2625,3.6,1.9,1.6,0,6,,8/7/25
D,51,A,buffer,,,,,,,8/7/25
D,51,B,1988,5.5,NA,NA,4,0,Stem only,8/7/25
D,52,A,522,24,6.7,2.7,1,0,all branches rep,8/7/25
D,52,B,2463,8,7.9,3.2,0,24,,8/7/25
D,53,A,2395,,,,,,,8/7/25
D,53,B,2212,12.8,8.1,5.1,1,29,,8/7/25
D,54,A,1876,7.8,9.3,7.6,1,46,,8/7/25
D,54,B,1849,8.6,5.1,3.9,0,13,,8/7/25
D,55,A,2573,11.2,4.6,2.9,1,8,,8/7/25
D,55,B,2425,7.9,2.8,2,0,10,,8/7/25
D,56,A,2544,9.8,6.6,5.7,1,38,,8/7/25
D,56,B,2492,4.5,3,2.5,0,14,,8/7/25
D,57,A,buffer,,,,,,,8/7/25
D,57,B,1327,30,39.7,21.8,0,0,all branches rep,8/7/25
D,58,A,buffer,,,,,,,8/7/25
D,58,B,2131,10.2,5.5,5.1,1,10,,8/7/25
D,1,C,buffer,,,,,,,8/7/25
D,1,D,buffer,,,,,,,8/7/25
D,2,C,buffer,,,,,,,8/7/25
D,2,D,buffer,,,,,,,8/7/25
D,3,C,buffer,,,,,,,8/7/25
D,3,D,buffer,,,,,,,8/7/25
D,4,C,1901,5.4,2.5,1.8,1,13,,8/7/25
D,4,D,2221,,,,,,,8/7/25
D,5,C,2292,4.3,4.4,2.4,1,9,,8/7/25
D,5,D,2121,3.7,2.9,1.8,1,6,,8/7/25
D,6,C,NA,,,,,,,8/7/25
D,6,D,NA,,,,,,,8/7/25
D,7,C,1751,6.6,3.4,2.8,1,7,,8/7/25
D,7,D,NA,,,,,,,8/7/25
D,8,C,2538,5.4,3.2,2.2,1,15,,8/7/25
D,8,D,1856,,,,,,,8/7/25
D,9,C,2622,3.3,2.4,1.1,0,4,,8/7/25
D,9,D,1768,11.9,4.6,3.2,1,8,,8/7/25
D,10,C,2412,3.1,1,0.8,0,7,,8/7/25
D,10,D,buffer,,,,,,,8/7/25
D,11,C,1614,,,,,,,8/7/25
D,11,D,buffer,,,,,,,8/7/25
D,12,C,2257,10.2,6.9,4.8,1,16,,8/7/25
D,12,D,2578,,,,,,,8/7/25
D,13,C,144,16.2,21.5,16.4,0,0,drying; all branches rep,8/7/25
D,13,D,2576,4.6,4.5,2.8,0,14,,8/7/25
D,14,C,1976,,,,,,,8/7/25
D,14,D,buffer,,,,,,,8/7/25
D,15,C,2376,2,2.1,1.4,1,6,,8/7/25
D,15,D,1667,2.1,2.1,1.4,1,5,,8/7/25
D,16,C,2343,6.8,3.5,1.7,0,21,,8/7/25
D,16,D,2539,2.2,1.2,1.1,1,6,,8/7/25
D,17,C,2644,,,,,,,8/7/25
D,17,D,1791,13.9,2.5,1.6,0,7,,8/7/25
D,18,C,2510,5.1,2,1.3,1,7,,8/7/25
D,18,D,2054,3.1,1.2,0.7,1,4,,8/7/25
D,19,C,1767,10.2,2.8,2.5,0,7,,8/7/25
D,19,D,1644,6.6,2.4,2.4,1,5,,8/7/25
D,20,C,buffer,,,,,,,8/7/25
D,20,D,2399,2.1,1.7,1.4,0,6,,8/7/25
D,21,C,buffer,,,,,,,8/7/25
D,21,D,1977,6,3.1,2.6,1,15,,8/7/25
D,22,C,53,22.6,13.3,9.9,0,0,all branches rep.,8/7/25
D,22,D,buffer,,,,,,,8/7/25
D,23,C,buffer,,,,,,,8/7/25
D,23,D,815,13.3,9.8,7.1,0,0,all branches rep.,8/7/25
D,24,C,2265,NA,NA,NA,NA,NA,dead,8/7/25
D,24,D,2461,3,1.6,1.3,1,6,,8/7/25
D,25,C,2047,4.4,2.6,2.1,1,10,,8/7/25
D,25,D,2623,,,,,,,8/7/25
D,26,C,1753,,,,,,,8/7/25
D,26,D,1600,9.1,3.7,2.7,1,5,,8/7/25
D,27,C,1837,5.1,3.4,2,1,11,,8/7/25
D,27,D,2283,22.1,8.8,6.1,1,0,all branches rep.,8/7/25
D,28,C,2501,,,,,,,8/7/25
D,28,D,2129,3.5,1.3,0.5,0,3,,8/7/25
D,29,C,1971,4,3.6,1.7,1,6,,8/7/25
D,29,D,2617,5.8,1.9,1.5,1,7,,8/7/25
D,30,C,1834,,,,,,,8/7/25
D,30,D,2451,6.2,4.5,2.9,1,7,,8/7/25
D,31,C,2540,6.8,3.5,2.1,1,7,,8/7/25
D,31,D,2647,,,,,,,8/7/25
D,32,C,2431,NA,NA,NA,NA,NA,Dead,8/7/25
D,32,D,2526,6.3,6.2,4.6,1,12,,8/7/25
D,33,C,2422,6,3.8,2.6,1,10,,8/7/25
D,33,D,2601,,,,,,,8/7/25
D,34,C,1648,6.4,1.7,1.2,0,6,,8/7/25
D,34,D,2345,9.5,3.4,3.1,2,10,,8/7/25
D,35,C,204,,,,,,,8/7/25
D,35,D,2479,26.5,3,3,1,11,,8/7/25
D,36,C,NA,,,,,,,8/7/25
D,36,D,2468,22,7.4,3,1,0,all branches rep,8/7/25
D,37,C,2050,5.6,6,4.6,1,41,,8/7/25
D,37,D,1882,,,,,,dead pre-planting,8/7/25
D,38,C,1997,,,,,,,8/7/25
D,38,D,2055,3.7,4,3,0,2.6,,8/7/25
D,39,C,1862,3,4,2.7,0,13,,8/7/25
D,39,D,1430,24.9,27.3,22.5,0,0,All branches rep,8/7/25
D,40,C,2340,30.1,11.7,8.7,1,0,All branches rep,8/7/25
D,40,D,1404,35,14.6,13.7,0,0,All branches rep,8/7/25
D,41,C,1913,6.7,6.1,4.6,0,16,,8/7/25
D,41,D,2484,21.5,20.7,16.5,0,0,All bronshes rep,8/7/25
D,42,C,491,NA,NA,NA,NA,NA,Dead,8/7/25
D,42,D,76,12.2,6.1,3.5,0,0,All brand hes rep,8/7/25
D,43,C,363,23.7,8.2,3.2,0,0,All branches rep,8/7/25
D,43,D,2046,4.3,4.4,2.3,1,15,,8/7/25
D,44,C,385,8.5,5.7,2.4,0,0,all branches rep,8/7/25
D,44,D,2531,8.1,2.6,2.5,1,6,,8/7/25
D,45,C,2624,,,,,,,8/7/25
D,45,D,2543,5,3,2.3,1,10,,8/7/25
D,46,C,2277,11.9,4,2.8,0,9,,8/7/25
D,46,D,1972,5.4,2,0.9,1,7,,8/7/25
D,47,C,1682,,,,,,,8/7/25
D,47,D,2065,6.3,4.2,2.2,1,18,,8/7/25
D,48,C,1615,2.7,0.9,0.8,9,9,,8/7/25
D,48,D,2369,4.3,5,3.2,1,8,,8/7/25
D,49,C,2192,,,,,,,8/7/25
D,49,D,2387,4,3,2,0,23,,8/7/25
D,50,C,2103,4.2,3.5,3.1,0,39,,8/7/25
D,50,D,2542,8.5,4,1.9,0,10,,8/7/25
D,51,C,2445,3.7,2.9,1.8,1,20,,8/7/25
D,51,D,1839,1.3,3,2.8,1,32,,8/7/25
D,52,C,2242,9.8,4.3,3,1,9,,8/7/25
D,52,D,1806,4.8,4.4,2.9,0,10,,8/7/25
D,53,C,2429,4.3,1.4,1.3,1,7,,8/7/25
D,53,D,2346,8.3,4.4,3.9,1,14,,8/7/25
D,54,C,2567,5.8,3.1,2.2,0,22,,8/7/25
D,54,D,936,24,17.2,8.1,0,0,all branches rep.,8/7/25
D,55,C,2235,11.1,3.1,2.6,1,17,,8/7/25
D,55,D,1796,40.2,10.1,8.6,0,0,all branches rep,8/7/25
D,56,C,2166,9.9,8.4,4.4,1,26,,8/7/25
D,56,D,2485,9.6,7.9,6.8,0,26,,8/7/25
D,57,C,1970,5.1,3.1,1.3,1,10,,8/7/25
D,57,D,buffer,,,,,,,8/7/25
D,58,C,buffer,,,,,,,8/7/25
D,58,D,buffer,,,,,,,8/7/25
D,59,C,buffer,,,,,,,8/7/25
D,59,D,buffer,,,,,,,8/7/25
E,1,B,buffer,,,,,,only 2 buffers,8/7/25
E,2,A,buffer,,,,,,only 2 buffers,8/7/25
E,2,B,buffer,,,,,,,8/7/25
E,3,A,buffer,,,,,,,8/7/25
E,3,B,buffer,,,,,,,8/7/25
E,4,A,2225,6.2,5.7,3.3,1,8,,8/7/25
E,4,B,1998,5,4.1,2.1,0,18,,8/7/25
E,5,A,2475,,,,,,,8/7/25
E,5,B,2641,15.4,5.4,5.9,0,16,,8/7/25
E,6,A,NA,,,,,,,8/7/25
E,6,B,2061,4.5,2.6,1.7,2,9,,8/7/25
E,7,A,2266,11.4,4.5,2.9,1,8,,8/7/25
E,7,B,2534,7.3,4.2,2.2,1,15,,8/7/25
E,8,A,2282,5.1,2,1.4,0,6,,8/7/25
E,8,B,2028,5.6,2.2,1.8,1,7,,8/7/25
E,9,A,buffer,,,,,,,8/7/25
